x,y,SitesType,TrapsType
6.465445,0.247435,0.0,-1.0
6.47001,0.26751,0.0,-1.0
6.474485307,0.261712028,0.0,-1.0
6.475876316,0.217656997,0.0,-1.0
6.47633,0.23497,0.0,-1.0
6.48221,0.26833,0.0,-1.0
6.48265,0.25602,0.0,-1.0
6.48616,0.28541,0.0,-1.0
6.48901,0.29982,0.0,-1.0
6.49416,0.30335,0.0,-1.0
6.494855,0.127215,0.0,-1.0
6.498302079,0.286349069,0.0,-1.0
6.49925,0.22297,0.0,-1.0
6.50046,0.31514,0.0,-1.0
6.50205,0.29361,0.0,-1.0
6.504662914,0.278204281,0.0,-1.0
6.506962601,0.265061575,0.0,-1.0
6.509126403,0.29547929,0.0,-1.0
6.5096,0.32701,0.0,-1.0
6.511288552,0.300430882,0.0,-1.0
6.514495609,0.218425714,0.0,-1.0
6.51521,0.10229,0.0,-1.0
6.517285,0.331455,0.0,-1.0
6.517564845,0.306332794,0.0,-1.0
6.51963,-0.00609,0.0,-1.0
6.520464678,0.300531521,0.0,-1.0
6.523754963,0.070673838,0.0,-1.0
6.524463678,0.084970655,0.0,-1.0
6.52521,0.32781,0.0,-1.0
6.52681,0.3139,0.0,-1.0
6.53015,0.34009,0.0,-1.0
6.530724406,0.028252364,0.0,-1.0
6.53312,0.03382,0.0,-1.0
6.53574,0.34578,0.0,-1.0
6.537442638,0.048434674,0.0,-1.0
6.54044,0.33734,0.0,-1.0
6.549730907,0.356114075,0.0,-1.0
6.54521,0.32082,0.0,-1.0
6.548539837,0.038607,0.0,-1.0
6.55065,0.34871,0.0,-1.0
6.55287,0.05228,0.0,-1.0
6.562855,0.070985,0.0,-1.0
6.562708096,0.313704936,0.0,-1.0
6.56813,0.34298,0.0,-1.0
6.572235667,0.351494974,0.0,-1.0
6.57085,0.32103,0.0,-1.0
6.57165,0.36417,0.0,-1.0
6.571916053,0.303792459,0.0,-1.0
6.57618,0.09352,0.0,-1.0
6.57687,0.36943,0.0,-1.0
6.58382,0.35552,0.0,-1.0
6.58865,0.1003,0.0,-1.0
6.59706,0.37008,0.0,-1.0
6.59732,0.38787,0.0,-1.0
6.59876,0.31826,0.0,-1.0
6.60008,0.30783,0.0,-1.0
6.60133,0.33646,0.0,-1.0
6.601715004,0.10705501,0.0,-1.0
6.60322,0.35122,0.0,-1.0
